Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,231,United States of America,181,Zimbabwe,5910,Export Quantity,15,Wheat,tonnes,17175.5,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,147,Namibia,5910,Export Quantity,15,Wheat,tonnes,17072.32,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,96,"China, Hong Kong SAR",5910,Export Quantity,15,Wheat,tonnes,16855.19,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,52,Azerbaijan,5910,Export Quantity,15,Wheat,tonnes,16499.67,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,186,Serbia and Montenegro,5910,Export Quantity,15,Wheat,tonnes,15614,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,86,Grenada,5910,Export Quantity,15,Wheat,tonnes,15001.33,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,90,Guinea,5910,Export Quantity,15,Wheat,tonnes,14434.83,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,217,Togo,5910,Export Quantity,15,Wheat,tonnes,13442.22,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,107,Côte d'Ivoire,5910,Export Quantity,15,Wheat,tonnes,13325.88,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,197,Sierra Leone,5910,Export Quantity,15,Wheat,tonnes,11736.95,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,211,Switzerland,5910,Export Quantity,15,Wheat,tonnes,11692.93,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,154,North Macedonia,5910,Export Quantity,15,Wheat,tonnes,11378.67,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,39,Chad,5910,Export Quantity,15,Wheat,tonnes,11336.67,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,129,Madagascar,5910,Export Quantity,15,Wheat,tonnes,11140.78,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,136,Mauritania,5910,Export Quantity,15,Wheat,tonnes,10904.77,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TM,Detailed trade matrix,231,United States of America,98,Croatia,5910,Export Quantity,15,Wheat,tonnes,10825.17,A,"Aggregate, may include official, semi-official, estimated or calculated data"
